product_title,product_image,pack_size,price_per_unit,price
Farmdale Butter Milk 600ml,https://www.aldi.com.au/fileadmin/_processed_/9/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_12_055e9444ef.jpg,600ml,$3.31 per Litre,1.99
Remano Pesto Basil 190g,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_13_c6cc984fc9.jpg,190g,94c per 100g,1.79
Remano Pesto Sundried Tomato 190g,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_14_307f93d12b.jpg,190g,94c per 100g,1.79
Power Force Pro Glass Cleaner 750ml,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_15_7e8091af83.jpg,750ml,21c per 100ml,1.59
White Mill Bread Crumbs 500g,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_16_f8507e8cd8.jpg,500g,32c per 100g,1.59
Just Organic Tomato Paste 140g,https://www.aldi.com.au/fileadmin/_processed_/f/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_17_a013c13156.jpg,140g,68c per 100g,0.95
Essential Health Paw Paw Ointment 25g,https://www.aldi.com.au/fileadmin/_processed_/e/d/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128__efe1136761.jpg,,$9.56 per 100g,2.39
Ingham’s Chicken Burgers Jumbo 24pk/1.65kg,https://www.aldi.com.au/fileadmin/_processed_/e/a/csm_W46_SUPER_SAVERS_MEAT_1x1_5_0b65ab492e.jpg,24pk,$7.27 per kg,11.99
Specially Selected Gourmet Sausages 500g,https://www.aldi.com.au/fileadmin/_processed_/0/0/csm_ALN3662_1x1_SSV-NOV-B2_228x628__138570d505.jpg,ea,$11.98 per kg,5.99
The Fishmonger Fresh Tasmanian Salmon Fillets 4pk/460g,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_ALN3662_1x1_SSV-NOV-B2_228x628_2_19f30e980e.jpg,4pk,$21.72 per kg,9.99
Brooklea Strawberry Yogurt Squishy Super Size 150g,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALN3662_1x1_SSV-NOV-B1_228x628__171f753822.jpg,150g,66c per 100g,0.99
Brooklea Vanilla Yogurt Squishy Super Size 150g,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_2_f9b4862ff5.jpg,150g,66c per 100g,0.99
Brooklea Blueberry Yogurt Squishy Super Size 150g,https://www.aldi.com.au/fileadmin/_processed_/1/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_3_746474e66d.jpg,150g,66c per 100g,0.99
Yopro Vanilla Yogurt Pouch 150g,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_4_a544d01c82.jpg,150g,99c per 100g,1.49
